T=788: Bee #14 completed Hive #167 with ['F', 167, 234, 1] --> 100 Points
T=792: Bee #23 completed Hive #521 with ['F', 521, 356, 1] --> 100 Points
T=814: Bee #9 completed Hive #18 with ['F', 18, 344, 1] --> 100 Points
T=851: Bee #6 completed Hive #895 with ['F', 895, 86, 1] --> 100 Points
T=858: Bee #14 completed Hive #325 with ['F', 325, 125, 1] --> 100 Points
T=866: Bee #20 completed Hive #840 with ['F', 840, 364, 1] --> 100 Points
T=872: Bee #9 completed Hive #177 with ['F', 177, 244, 1] --> 100 Points
T=885: Bee #5 completed Hive #302 with ['F', 302, 223, 1] --> 100 Points
T=889: Bee #1 completed Hive #950 with ['F', 950, 226, 1] --> 100 Points
T=895: Bee #12 completed Hive #780 with ['F', 780, 398, 1] --> 100 Points
T=898: Bee #22 completed Hive #1147 with ['F', 1147, 31, 1] --> 100 Points
T=917: Bee #8 completed Hive #1119 with ['F', 1119, 350, 1] --> 100 Points
T=920: Bee #13 completed Hive #1191 with ['F', 1191, 2, 1] --> 100 Points
T=944: Bee #4 completed Hive #789 with ['F', 789, 299, 1] --> 100 Points
T=979: Bee #1 completed Hive #989 with ['F', 989, 375, 1] --> 100 Points
T=999: Bee #0 completed Hive #1154 with ['F', 1154, 349, 1] --> 100 Points
T=1001: Bee #4 completed Hive #738 with ['F', 738, 283, 1] --> 100 Points
T=1005: Bee #3 completed Hive #804 with ['F', 804, 201, 1] --> 100 Points
T=1016: Bee #2 completed Hive #257 with ['F', 257, 34, 1] --> 100 Points
T=1016: Bee #24 completed Hive #727 with ['F', 727, 361, 1] --> 100 Points
T=1027: Bee #20 completed Hive #560 with ['F', 560, 196, 1] --> 100 Points
T=1028: Bee #22 completed Hive #935 with ['F', 935, 272, 1] --> 100 Points
T=1058: Bee #15 completed Hive #318 with ['F', 318, 255, 1] --> 100 Points
T=1060: Bee #21 completed Hive #892 with ['F', 892, 365, 1] --> 100 Points
T=1067: Bee #1 completed Hive #1053 with ['F', 1053, 122, 1] --> 100 Points
T=1112: Bee #12 completed Hive #524 with ['F', 524, 164, 1] --> 100 Points
T=1119: Bee #6 completed Hive #369 with ['F', 369, 17, 1] --> 100 Points
T=1132: Bee #0 completed Hive #409 with ['F', 409, 383, 1] --> 99 Points
T=1133: Bee #8 completed Hive #1186 with ['F', 1186, 263, 1] --> 99 Points
T=1150: Bee #15 completed Hive #286 with ['F', 286, 181, 1] --> 99 Points
T=1153: Bee #23 completed Hive #193 with ['F', 193, 121, 1] --> 99 Points
T=1165: Bee #18 completed Hive #390 with ['F', 390, 362, 1] --> 99 Points
T=1167: Bee #14 completed Hive #227 with ['F', 227, 111, 1] --> 99 Points
T=1181: Bee #20 completed Hive #887 with ['F', 887, 376, 1] --> 99 Points
T=1185: Bee #10 completed Hive #171 with ['F', 171, 107, 1] --> 99 Points
T=1223: Bee #4 completed Hive #745 with ['F', 745, 394, 1] --> 99 Points
T=1230: Bee #7 completed Hive #180 with ['F', 180, 384, 1] --> 99 Points
T=1271: Bee #2 completed Hive #203 with ['F', 203, 332, 1] --> 99 Points
T=1275: Bee #20 completed Hive #572 with ['F', 572, 184, 1] --> 99 Points
T=1301: Bee #23 completed Hive #652 with ['F', 652, 300, 1] --> 99 Points
T=1323: Bee #7 completed Hive #38 with ['F', 38, 384, 1] --> 99 Points
T=1342: Bee #7 completed Hive #1121 with ['F', 1121, 211, 1] --> 99 Points
